id,ts,provider,model,rate_per_m,source,is_measured,confidence,sample_tokens,sample_cost_usd,velocity,note
6129,1786935902.478996,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6130,1786935902.478996,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6131,1786935902.478996,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6132,1786935902.478996,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6133,1786935902.478996,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6134,1786935902.4806309,openrouter,,0.4644075490032284,openrouter_actual,1,1.0,12958585,6.0180646984,0.0,
6135,1786935902.2222903,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6136,1786935902.2222903,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6137,1786936202.028129,friend,,0.001,zai_amortized,0,0.7,690943495,0.0,0.0,
6138,1786936202.037522,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6139,1786936202.2557878,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6140,1786936202.2557878,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6141,1786936202.2557878,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
6142,1786936202.2557878,ppq,z-ai/glm-5.2,0.2576523643245763,ppq_ledger,1,1.0,20029486,5.160644424106,0.0,
6143,1786936202.2557878,ppq,,0.37026045252579654,ppq_ledger,1,1.0,25468263,9.429890583426001,0.0,
6144,1786936202.2659461,openrouter,,0.46639290711878323,openrouter_actual,1,1.0,13022127,6.073427668399999,0.0,
6145,1786936202.0281265,ours,,0.001,cold_start_fallback,0,0.0,0,0.0,0.0,
6146,1786936202.0281265,deepinfra,,1.3,cold_start_fallback,0,0.0,0,0.0,0.0,
6147,1786936502.078051,friend,,0.001,zai_amortized,0,0.7,690976169,0.0,0.0,
6148,1786936502.0941482,ollama_cloud,,0.3403472792684442,zai_amortized,0,0.7,293817539,100.0,0.0,
6149,1786936502.301054,ppq,deepseek/deepseek-v4-flash,0.06542517205402267,ppq_ledger,1,0.40922674,1560382,0.10208826082,0.0,
6150,1786936502.301054,ppq,moonshotai/kimi-k3,2.497018421052631,ppq_ledger,1,0.3000133,190,0.00047443349999999997,0.0,
6151,1786936502.301054,ppq,z-ai/glm-5,1.0743845322771748,ppq_ledger,1,0.5714743499999999,3878205,4.166683465,0.0,
