id,ts,provider,response_received,response_valid,latency_ms,error_type,billed_tokens,actual_tokens,token_mismatch,model
277,2026-08-14T12:47:35.047397+00:00,friend,0,0,3,no_response,0,0,0,
278,2026-08-14T12:47:35.054012+00:00,friend,0,0,2,no_response,0,0,0,
279,2026-08-14T12:47:35.059190+00:00,friend,0,0,2,no_response,0,0,0,
280,2026-08-14T12:47:35.065265+00:00,friend,0,0,3,no_response,0,0,0,
281,2026-08-14T12:47:35.079483+00:00,friend,0,0,3,no_response,0,0,0,
282,2026-08-14T12:47:35.095615+00:00,friend,0,0,3,no_response,0,0,0,
283,2026-08-14T12:47:35.102928+00:00,friend,0,0,2,no_response,0,0,0,
284,2026-08-14T12:47:35.108589+00:00,friend,0,0,2,no_response,0,0,0,
285,2026-08-14T12:47:35.116257+00:00,friend,0,0,2,no_response,0,0,0,
286,2026-08-14T12:47:35.122536+00:00,friend,0,0,3,no_response,0,0,0,
287,2026-08-14T12:47:37.745526+00:00,friend,0,0,3,no_response,0,0,0,
288,2026-08-14T12:47:37.761170+00:00,friend,0,0,2,no_response,0,0,0,
289,2026-08-14T12:47:37.766560+00:00,friend,0,0,2,no_response,0,0,0,
290,2026-08-14T12:47:37.772302+00:00,friend,0,0,2,no_response,0,0,0,
291,2026-08-14T12:47:37.779386+00:00,friend,0,0,2,no_response,0,0,0,
292,2026-08-14T12:47:37.784867+00:00,friend,0,0,2,no_response,0,0,0,
293,2026-08-14T12:47:37.799410+00:00,friend,0,0,2,no_response,0,0,0,
294,2026-08-14T12:47:37.817771+00:00,friend,0,0,2,no_response,0,0,0,
295,2026-08-14T12:47:37.824058+00:00,friend,0,0,2,no_response,0,0,0,
296,2026-08-14T12:47:37.895871+00:00,friend,0,0,68,no_response,0,0,0,
297,2026-08-14T12:47:37.904834+00:00,friend,0,0,4,no_response,0,0,0,
298,2026-08-14T12:47:37.912775+00:00,friend,0,0,3,no_response,0,0,0,
299,2026-08-14T12:47:45.470920+00:00,friend,1,1,7489,none,70,0,0,glm-5.2
300,2026-08-14T12:47:52.752888+00:00,friend,1,1,5242,none,104,53,1,glm-5.2
301,2026-08-14T12:47:54.202563+00:00,friend,1,1,28674,none,1209,0,0,glm-5.3
302,2026-08-14T12:48:09.245382+00:00,friend,1,1,14891,none,674,486,1,glm-5.3
303,2026-08-14T12:48:15.590664+00:00,friend,1,1,40405,none,2079,12,1,glm-5.3
304,2026-08-14T12:48:18.547113+00:00,friend,1,1,44068,none,2140,0,0,glm-5.3
305,2026-08-14T12:48:23.466136+00:00,friend,1,1,7294,none,215,10,1,glm-5.3
306,2026-08-14T12:48:26.022559+00:00,friend,1,1,6876,none,90,98,0,glm-5.3
307,2026-08-14T12:48:31.365463+00:00,friend,1,1,6869,none,40,0,0,glm-5.3
308,2026-08-14T12:48:36.053700+00:00,friend,1,1,4427,none,149,0,0,glm-5.3
309,2026-08-14T12:48:43.635251+00:00,friend,1,1,7104,none,139,0,0,glm-5.3
310,2026-08-14T12:48:50.666481+00:00,friend,1,1,6651,none,98,0,0,glm-5.3
311,2026-08-14T12:48:58.788845+00:00,friend,1,1,7765,none,226,5,1,glm-5.3
312,2026-08-14T12:49:05.525678+00:00,friend,1,1,6332,none,130,0,0,glm-5.3
313,2026-08-14T12:49:24.025149+00:00,friend,1,1,18039,none,1156,14,1,glm-5.3
