id,ts,provider_used,effective_price,next_best_price,savings_per_1m,estimated_tokens,estimated_savings_usd,is_peak_hour,mode
1605,1787173499.8648992,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,102418,0.0009857732499999967,0,consumer
1606,1787173503.3017185,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,59258,0.0005703582499999981,0,consumer
1607,1787173508.751823,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,59962,0.000577134249999998,0,consumer
1608,1787173512.7340288,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,60179,0.000579222874999998,0,consumer
1609,1787173518.4895883,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,60528,0.0005825819999999979,0,consumer
1610,1787173522.061513,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,60698,0.000584218249999998,0,consumer
1611,1787173527.180084,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,61037,0.0005874811249999979,0,consumer
1612,1787173528.524985,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,105187,0.0010124248749999966,0,consumer
1613,1787173542.0635512,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,62150,0.000598193749999998,0,consumer
1614,1787173547.1944857,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,62717,0.000603651124999998,0,consumer
1615,1787173552.5296571,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,63187,0.0006081748749999979,0,consumer
1616,1787173556.6846135,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,355,3.416874999999988e-06,0,consumer
1617,1787173565.3786056,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,65022,0.0006258367499999979,0,consumer
1618,1787173572.264364,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,65435,0.0006298118749999978,0,consumer
1619,1787173577.0913558,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,65805,0.0006333731249999978,0,consumer
1620,1787173583.176839,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,66348,0.0006385994999999978,0,consumer
1621,1787173587.88127,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,66880,0.0006437199999999978,0,consumer
1622,1787173596.044605,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,68650,0.0006607562499999978,0,consumer
1623,1787173602.8063514,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,69223,0.0006662713749999978,0,consumer
1624,1787173607.1761742,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,69570,0.0006696112499999977,0,consumer
1625,1787173611.8048177,openrouter,0.17500000000000002,0.18462499999999998,0.009624999999999967,70089,0.0006746066249999977,0,consumer
