id,ts,inter_arrival,consecutive,wait_used,source
1392,1787423249.055067,63.14582180976868,106,,zai_proxy
1393,1787423249.2201607,0.16509366035461426,107,,zai_proxy
1394,1787423312.6145215,63.39436078071594,108,,zai_proxy
1395,1787423373.3229535,60.70843195915222,109,,zai_proxy
1396,1787423438.5295198,65.20656633377075,110,,zai_proxy
1397,1787423501.1913748,62.6618549823761,111,,zai_proxy
1398,1787423514.411551,13.220176219940186,1,,zai_proxy
1399,1787423563.8619425,49.4503915309906,1,,zai_proxy
1400,1787423567.4035592,3.541616678237915,2,,zai_proxy
1401,1787423573.999068,6.595508813858032,3,,zai_proxy
1402,1787423613.8315408,39.832472801208496,1,,zai_proxy
1403,1787423613.89194,0.06039929389953613,2,,zai_proxy
1404,1787423624.0994976,10.207557439804077,3,,zai_proxy
1405,1787423658.6046767,34.50517916679382,1,,zai_proxy
1406,1787423667.6667743,9.062097549438477,1,,zai_proxy
1407,1787423692.0418031,24.37502884864807,2,,zai_proxy
1408,1787423700.7153401,8.673537015914917,3,,zai_proxy
1409,1787423727.2902212,26.574881076812744,4,,zai_proxy
1410,1787423753.6756828,26.385461568832397,5,,zai_proxy
1411,1787423788.5748198,34.899137020111084,6,,zai_proxy
1412,1787423821.5811193,,1,,zai_proxy
1413,1787423852.76936,31.18824076652527,2,,zai_proxy
1414,1787423860.6200922,7.850732088088989,3,,zai_proxy
1415,1787423860.6393676,0.019275426864624023,4,,zai_proxy
1416,1787423860.6736178,0.03425025939941406,5,,zai_proxy
1417,1787423990.426733,129.75311517715454,1,,zai_proxy
1418,1787423990.4370427,0.010309696197509766,2,,zai_proxy
1419,1787423990.45036,0.013317346572875977,3,,zai_proxy
1420,1787424044.554776,54.10441589355469,1,,zai_proxy
1421,1787424060.3422415,15.787465572357178,2,,zai_proxy
1422,1787424060.3532498,0.011008262634277344,3,,zai_proxy
1423,1787424060.3635232,0.010273456573486328,4,,zai_proxy
1424,1787424060.36461,0.0010867118835449219,5,,zai_proxy
1425,1787424089.6964948,,1,,zai_proxy
1426,1787424089.705919,0.009424209594726562,2,,zai_proxy
1427,1787424089.7180278,0.012108802795410156,3,,zai_proxy
1428,1787424101.1335087,11.415480852127075,4,,zai_proxy
1429,1787424284.6713421,183.53783345222473,1,,zai_proxy
1430,1787424284.730887,0.05954480171203613,2,,zai_proxy
1431,1787424284.7601306,0.02924370765686035,3,,zai_proxy
1432,1787424285.5474465,0.787315845489502,4,,zai_proxy
1433,1787424346.0346794,60.48723292350769,5,,zai_proxy
1434,1787424346.1997054,0.16502594947814941,6,,zai_proxy
1435,1787424466.192809,119.99310374259949,7,,zai_proxy
1436,1787424466.2111282,0.018319129943847656,8,,zai_proxy
1437,1787424466.2911084,0.07998013496398926,9,,zai_proxy
1438,1787424466.2982352,0.007126808166503906,10,,zai_proxy
1439,1787424466.3309252,0.03269004821777344,11,,zai_proxy
1440,1787424466.3427634,0.011838197708129883,12,,zai_proxy
1441,1787424466.4010952,0.05833172798156738,13,,zai_proxy
1442,1787424466.4831283,0.08203315734863281,14,,zai_proxy
1443,1787424527.672323,61.189194679260254,15,,zai_proxy
1444,1787424593.0402446,,1,,zai_proxy
1445,1787424614.1268544,21.086609840393066,2,,zai_proxy
1446,1787424618.6763535,4.549499034881592,3,,zai_proxy
1447,1787424630.6141813,11.937827825546265,4,,zai_proxy
1448,1787424630.7922404,0.17805910110473633,5,,zai_proxy
1449,1787424714.3274746,,1,,zai_proxy
1450,1787424714.8654478,0.537973165512085,2,,zai_proxy
1451,1787424723.602153,8.736705303192139,3,,zai_proxy
1452,1787424732.1776185,8.575465440750122,4,,zai_proxy
1453,1787424732.2870138,0.10939526557922363,5,,zai_proxy
1454,1787424911.9631445,179.67613077163696,6,,zai_proxy
1455,1787424912.4690027,0.5058581829071045,7,,zai_proxy
1456,1787425093.6590776,181.1900749206543,8,,zai_proxy
1457,1787425093.6694772,0.010399580001831055,9,,zai_proxy
1458,1787425094.1355844,0.4661071300506592,10,,zai_proxy
1459,1787425175.3041205,81.16853618621826,11,,zai_proxy
1460,1787425175.3523774,0.048256874084472656,12,,zai_proxy
1461,1787425274.837123,99.48474550247192,13,,zai_proxy
1462,1787425275.5760262,0.738903284072876,14,,zai_proxy
1463,1787425337.8479555,62.2719292640686,15,,zai_proxy
1464,1787425338.102758,0.2548024654388428,16,,zai_proxy
1465,1787425399.3921592,61.2894012928009,17,,zai_proxy
1466,1787425411.6904752,12.29831600189209,1,,zai_proxy
1467,1787425411.7306755,0.040200233459472656,2,,zai_proxy
1468,1787425411.7591913,0.02851581573486328,3,,zai_proxy
1469,1787425472.7612472,61.00205588340759,1,,zai_proxy
1470,1787425472.7635977,0.0023505687713623047,2,,zai_proxy
1471,1787425472.7865515,0.02295374870300293,3,,zai_proxy
1472,1787425472.7981427,0.011591196060180664,4,,zai_proxy
1473,1787425472.838176,0.04003334045410156,5,,zai_proxy
1474,1787425472.8504548,0.01227879524230957,6,,zai_proxy
1475,1787425472.8702357,0.019780874252319336,7,,zai_proxy
1476,1787425472.957753,0.08751726150512695,8,,zai_proxy
1477,1787425473.0955782,0.13782525062561035,9,,zai_proxy
1478,1787425473.2065833,0.11100506782531738,10,,zai_proxy
1479,1787425548.3400998,75.13351655006409,11,,zai_proxy
1480,1787425620.11412,71.77402019500732,12,,zai_proxy
1481,1787425693.674342,73.56022191047668,13,,zai_proxy
1482,1787425693.6881895,0.013847589492797852,14,,zai_proxy
1483,1787425693.6882124,2.288818359375e-05,15,,zai_proxy
1484,1787425693.7119682,0.023755788803100586,16,,zai_proxy
1485,1787425693.7129533,0.0009851455688476562,17,,zai_proxy
1486,1787425693.7131143,0.0001609325408935547,18,,zai_proxy
1487,1787425693.7238839,0.01076960563659668,19,,zai_proxy
1488,1787425693.723988,0.00010418891906738281,20,,zai_proxy
1489,1787425693.7471714,0.023183345794677734,21,,zai_proxy
1490,1787425693.7487352,0.0015637874603271484,22,,zai_proxy
1491,1787425693.7134407,,23,,zai_proxy
1492,1787425693.7485158,0.03507518768310547,24,,zai_proxy
1493,1787425693.7233863,,25,,zai_proxy
1494,1787425693.7500267,0.02664041519165039,26,,zai_proxy
1495,1787425693.8311424,0.08111572265625,27,,zai_proxy
1496,1787425693.8356748,0.004532337188720703,28,,zai_proxy
1497,1787425693.8360581,0.0003833770751953125,29,,zai_proxy
1498,1787425693.8359313,,30,,zai_proxy
1499,1787425693.8361342,0.0002028942108154297,31,,zai_proxy
1500,1787425803.0208495,109.1847152709961,32,,zai_proxy
1501,1787425873.7289338,70.70808434486389,33,,zai_proxy
1502,1787425873.7543292,0.02539539337158203,34,,zai_proxy
1503,1787425873.796288,0.04195880889892578,35,,zai_proxy
1504,1787425873.9672272,0.17093920707702637,36,,zai_proxy
1505,1787425874.0750444,0.10781717300415039,37,,zai_proxy
1506,1787425874.1640778,0.08903336524963379,38,,zai_proxy
1507,1787425874.2626903,0.09861254692077637,39,,zai_proxy
1508,1787425874.2903821,0.02769184112548828,40,,zai_proxy
1509,1787425874.3581154,0.0677332878112793,41,,zai_proxy
1510,1787425874.3981621,0.04004669189453125,42,,zai_proxy
1511,1787425987.7342827,113.33612060546875,43,,zai_proxy
1512,1787426053.3622458,65.62796306610107,44,,zai_proxy
1513,1787426053.4000554,0.03780961036682129,45,,zai_proxy
1514,1787426053.4003742,0.00031876564025878906,46,,zai_proxy
1515,1787426053.40087,0.00049591064453125,47,,zai_proxy
1516,1787426053.4010327,0.00016260147094726562,48,,zai_proxy
1517,1787426053.4011047,7.200241088867188e-05,49,,zai_proxy
1518,1787426053.4007576,,50,,zai_proxy
1519,1787426053.40078,2.2411346435546875e-05,51,,zai_proxy
1520,1787426053.4010718,0.0002918243408203125,52,,zai_proxy
1521,1787426053.4011211,4.935264587402344e-05,53,,zai_proxy
1522,1787426053.4009504,,54,,zai_proxy
1523,1787426053.4347582,0.03380775451660156,55,,zai_proxy
1524,1787426053.5231273,0.08836913108825684,56,,zai_proxy
1525,1787426053.5447466,0.021619319915771484,57,,zai_proxy
1526,1787426173.9976728,120.45292615890503,58,,zai_proxy
1527,1787426235.850448,61.85277509689331,59,,zai_proxy
1528,1787426235.8868706,0.0364227294921875,60,,zai_proxy
1529,1787426235.887108,0.00023746490478515625,61,,zai_proxy
1530,1787426235.8873959,0.00028777122497558594,62,,zai_proxy
1531,1787426235.888709,0.0013132095336914062,63,,zai_proxy
1532,1787426235.9248703,0.036161184310913086,64,,zai_proxy
1533,1787426235.925188,0.0003178119659423828,65,,zai_proxy
1534,1787426235.9256449,0.00045680999755859375,66,,zai_proxy
1535,1787426235.9257176,7.271766662597656e-05,67,,zai_proxy
1536,1787426235.9252145,,68,,zai_proxy
1537,1787426235.9252954,8.082389831542969e-05,69,,zai_proxy
1538,1787426245.999868,10.074572563171387,70,,zai_proxy
1539,1787426235.9256854,,71,,zai_proxy
1540,1787426246.0036614,10.077975988388062,72,,zai_proxy
1541,1787426246.015175,0.011513710021972656,73,,zai_proxy
1542,1787426246.0036266,,74,,zai_proxy
1543,1787426235.9390535,,75,,zai_proxy
1544,1787426245.9898808,10.050827264785767,76,,zai_proxy
1545,1787426375.050315,129.06043410301208,77,,zai_proxy
1546,1787426437.2611127,62.21079778671265,78,,zai_proxy
1547,1787426437.2819426,0.02082991600036621,79,,zai_proxy
1548,1787426517.904885,80.62294244766235,80,,zai_proxy
1549,1787426517.928506,0.0236208438873291,81,,zai_proxy
1550,1787426517.9639974,0.0354914665222168,82,,zai_proxy
1551,1787426585.3126822,67.34868478775024,83,,zai_proxy
1552,1787426585.8560617,0.543379545211792,84,,zai_proxy
1553,1787426649.016046,63.15998435020447,85,,zai_proxy
1554,1787426649.054899,0.03885293006896973,86,,zai_proxy
1555,1787426724.681349,75.6264500617981,87,,zai_proxy
1556,1787426724.6868525,0.005503416061401367,88,,zai_proxy
1557,1787426796.7534504,72.0665979385376,89,,zai_proxy
1558,1787426806.8265624,10.07311201095581,90,,zai_proxy
1559,1787426806.9071605,0.08059811592102051,91,,zai_proxy
1560,1787426806.9073832,0.00022268295288085938,92,,zai_proxy
1561,1787426806.921723,0.014339685440063477,93,,zai_proxy
1562,1787426806.9379215,0.01619863510131836,94,,zai_proxy
1563,1787426806.9475715,0.009649991989135742,95,,zai_proxy
1564,1787426806.9480028,0.00043129920959472656,96,,zai_proxy
1565,1787426806.9489338,0.0009310245513916016,97,,zai_proxy
1566,1787426806.9648862,0.015952348709106445,98,,zai_proxy
1567,1787426806.986283,0.021396875381469727,99,,zai_proxy
1568,1787426806.9934874,0.007204294204711914,100,,zai_proxy
